Album,Artist,Price,Image URL
No album found,No artist found,No price available,No image available
No album found,No artist found,No price available,No image available
No album found,No artist found,No price available,//www.newburycomics.com/cdn/shop/t/11/assets/logo.png?v=64978065453772627191713893365
No album found,No artist found,No price available,//www.newburycomics.com/cdn/shop/t/11/assets/logo.png?v=64978065453772627191713893365
No album found,No artist found,No price available,No image available
No album found,No artist found,No price available,No image available
"Live At The Orpheum Theatre - April 12, 1994 Exclusive 2 LP",Pearl Jam,$124.99,//www.newburycomics.com/cdn/shop/products/Pearl-Jam-Live-at-The-Orpheum-Exclusive-Vinyl-2LP-2338762_large.jpg?v=1533574783
"Live At The Orpheum Theatre - April 12, 1994 Exclusive 2 LP",Pearl Jam,$124.99,//www.newburycomics.com/cdn/shop/products/Pearl-Jam-Live-at-The-Orpheum-Exclusive-Vinyl-2LP-2338762_large.jpg?v=1533574783
Grace Exclusive LP,Jeff Buckley,$104.99,//www.newburycomics.com/cdn/shop/products/Jeff-Buckley-Grace-Exclusive-Color-Vinyl-LP-2398383_large.jpg?v=1560194614
Psychocandy Exclusive LP (Gum),The Jesus And Mary Chain,$41.99,//www.newburycomics.com/cdn/shop/products/The-Jesus-and-Mary-Chain-Psychocandy-Exclusive-Color-Vinyl-LP-2510864_large.jpg?v=1632243851
Future Past LP (Color) With Autographed Art Print,Duran Duran,$35.99,//www.newburycomics.com/cdn/shop/products/Duran-Duran-Future-Past-LP-Autographed-2545380_large.jpg?v=1631910365
Super What? Exclusive LP,Czarface / MF Doom,$34.99,//www.newburycomics.com/cdn/shop/products/Czarface-MF-Doom-Super-What-Exclusive-Color-Vinyl-LP-2519852_large.jpg?v=1620670346
McCartney III Imagined Exclusive 2LP,Paul McCartney,$15.99,//www.newburycomics.com/cdn/shop/products/Paul-McCartney-McCartney-III-Imagined-Exclusive-Color-Vinyl-LP-2509924_large.jpg?v=1615417900
Soundtrack - Rocky Horror Picture Show Exclusive LP,Various Artists,$89.99,//www.newburycomics.com/cdn/shop/products/Various-Artists-Rocky-Horror-Picture-Show-Exclusive-Color-Vinyl-LP-2510545_large.jpg?v=1617301661
